Application,BMWeb_IN,Clearstream Portal_IN,Codelist_IN,CreationOnline_IN,Custody_IN,Import/PI2_IN,NCS_IN,Tax Cluster_IN,AM_IN,Dataserver_IN,GAIN_IN,Hyparchive_IN,MARS_IN,RDF_IN,CmaX_IN,4Sight/C4I_IN,Vestima+_IN,Bridge Connectivity_IN,Common Code Generator_IN,CSE_IN,DDR_IN,Mainframe (Residual LCS)_IN,NCCIP_IN,NCMS/CEMT_IN,NOSTRO_IN,PM/CSD_IN,PM/ICSD_IN,Report Server_IN,RTS_IN,STOP_IN,T2S-I_IN,Clearstream Portal_OUT,CreationOnline_OUT,Custody_OUT,Import/PI2_OUT,NCS_OUT,Tax Cluster_OUT,AM_OUT,Dataserver_OUT,GAIN_OUT,Hyparchive_OUT,RDF_OUT,CmaX_OUT,4Sight/C4I_OUT,Vestima+_OUT,Bridge Connectivity_OUT,Common Code Generator_OUT,CSE_OUT,DDR_OUT,Mainframe (Residual LCS)_OUT,NCCIP_OUT,NCMS/CEMT_OUT,PM/CSD_OUT,PM/ICSD_OUT,Report Server_OUT,RTS_OUT,STOP_OUT,T2S-I_OUT,MarketData_Analytics,Trading,Settlement,Asset_Servicing,Liquidity_Management,Business_Operations,Connectivity,linux,MVS,LB,HL,PH,SH,PS,BV,
CmaX,0.4604702652,-0.2686326403,-0.1740776560,2.2645540683,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,1.9210666842,-0.5277593966,-0.2987654748,-0.0167312765,-0.4781422391,1.6843038421,-0.3673963669,-0.2746851390,-0.1740776560,0.5865191772,-0.2887845085,-0.3606678539,-0.0183287243,-0.2484946100,-0.2757801013,-0.2716945696,0.9058216273,0.7531932032,-0.3143538442,-0.5647066799,-0.2800405738,0.1873643364,-0.1740776560,0.8684737718,-0.4288450139,-0.2919727474,-0.3868392355,-0.2371949158,-0.3263988575,-0.2060788209,-0.1740776560,1.1501233795,-0.5022002067,1.6115774915,1.0947727296,-0.3370999312,-0.1740776560,1.8142196718,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,2.9211869734,2.1798841967,-0.5317741400,-0.3431999514,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,2.3303010600,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,5.5704849906,-0.4161251893,-0.2501221598,-0.5109523080,
C4I,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.0932960467,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,1.5851878478,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.3510851418,-0.4288450139,-0.2919727474,-0.3868392355,-0.4111378541,-0.3263988575,-0.2060788209,-0.1740776560,1.1501233795,1.2422847218,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,0.1999893758,-0.5317741400,-0.6412420144,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,2.3303010600,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,-0.1740776560,2.3303010600,-0.2501221598,-0.5109523080,
V+,0.4604702652,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.0932960467,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,0.2840952264,-0.2484946100,-0.2757801013,-0.2716945696,0.9058216273,-0.2027827855,-0.0673615380,0.7663876370,-0.2800405738,-0.2542801708,-0.1740776560,-0.0461954134,-0.4288450139,-0.2919727474,-0.3868392355,-0.0632519776,-0.3263988575,-0.2060788209,-0.1740776560,-0.4312962673,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,3.1139957766,-0.1740776560,2.1115586949,-0.4161251893,-0.3651483717,1.5199192564,0.9941864356,-0.6412420144,-0.3536097742,-0.1873302496,-0.3113995777,5.5704849906,-0.6030226892,-0.4161251893,-0.4161251893,1.2214096331,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,5.5704849906,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
BRDG,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.1240448733,-0.2716271179,-0.3267348002,-0.2501221598,-0.1093533104,-0.3430476222,-0.5277593966,-0.2987654748,1.0875329754,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,0.2840952264,0.0515686622,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,1.4145922990,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.3510851418,2.1442250697,-0.2919727474,-0.3868392355,-0.4111378541,-0.3263988575,-0.2060788209,-0.1740776560,0.3594135561,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,2.6372206789,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,-3.1139957766,3.1139957766,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
CCG,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.0167312765,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.6559748702,-0.4288450139,-0.2919727474,-0.3868392355,-0.5850807924,-0.3263988575,-0.2060788209,-0.1740776560,-0.0359413556,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,-0.6412420144,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,2.3303010600,-0.4161251893,-0.7939162615,-0.3113995777,-3.1139957766,3.1139957766,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
CSE,1.4735048485,-0.2686326403,-0.1740776560,0.9058216273,-0.4471245820,0.6946512904,-0.2716271179,-0.3267348002,3.8768934768,2.1870662073,1.9210666842,-0.5277593966,-0.2987654748,1.0875329754,2.6006273007,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,0.3919218330,0.7213357077,4.8204544873,1.5737991965,0.4826151773,-0.2716945696,-0.4529108137,0.5141992060,-0.3143538442,0.7663876370,-0.2800405738,-0.2542801708,-0.1740776560,-0.6559748702,-0.4288450139,-0.2919727474,-0.3868392355,-0.5850807924,-0.3263988575,-0.2060788209,-0.1740776560,-0.0359413556,2.1145271860,-0.2222865506,-0.4759881433,1.1461397662,-0.1740776560,-0.4995677357,-0.3113995777,5.5704849906,3.4515863281,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,2.9352627419,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,1.6080605044,-0.4161251893,2.3303010600,1.2214096331,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,-0.1740776560,2.3303010600,-0.2501221598,-0.5109523080,
DDR,-0.0460470265,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.1240448733,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,0.1175668374,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.6559748702,-0.4288450139,-0.2919727474,-0.3868392355,2.1980062202,-0.3263988575,-0.2060788209,-0.1740776560,1.5454782912,-0.5022002067,-0.2222865506,-0.4759881433,0.4045199175,-0.1740776560,0.0788791162,-0.3113995777,-0.1740776560,-0.5684965717,2.3303010600,-0.3651483717,-0.4599755644,0.2312061478,-0.3431999514,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,1.6080605044,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
LCS,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.0183287243,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,0.2586943150,-0.4288450139,-0.2919727474,-0.3868392355,-0.2371949158,-0.3263988575,-0.2060788209,-0.1740776560,-0.4312962673,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.2103443098,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,0.5509262377,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,1.6080605044,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,-3.1139957766,3.1139957766,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
NCCIP,4.5126085985,0.8394770008,-0.1740776560,3.6232865093,1.4943374187,0.6946512904,-0.2716271179,-0.3267348002,3.8768934768,0.8748264829,-0.3430476222,1.4073583908,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,4.4822356766,-0.2746851390,-0.1740776560,4.2156065859,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,5.0329868493,-0.2716945696,4.3026527297,-0.4417767826,-0.3143538442,3.4285762709,-0.2800405738,0.1873643364,-0.1740776560,0.2586943150,-0.4288450139,-0.2919727474,0.4642070825,0.9804056522,-0.3263988575,-0.2060788209,-0.1740776560,-0.8266511790,0.3700422576,-0.2222865506,2.6655336024,-0.3370999312,-0.1740776560,4.4172305053,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,-0.6412420144,1.3134077327,-0.1873302496,-0.3113995777,-0.1740776560,1.6080605044,-0.4161251893,2.3303010600,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
NCMS,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.0588321818,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,1.4073583908,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,0.0515686622,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.2027827855,-0.0673615380,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.3510851418,-0.4288450139,-0.2919727474,-0.3868392355,-0.5850807924,-0.3263988575,-0.2060788209,-0.1740776560,1.5454782912,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,0.0788791162,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,-0.6412420144,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,2.3303010600,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
NOS,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.6559748702,-0.4288450139,-0.2919727474,-0.3868392355,-0.0632519776,-0.3263988575,-0.2060788209,-0.1740776560,-0.8266511790,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.2103443098,-0.3113995777,-0.1740776560,1.3075421149,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,-0.3431999514,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,1.6080605044,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
PMC,-0.0460470265,-0.2686326403,-0.1740776560,-0.4529108137,2.6592146191,0.2853032086,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.0167312765,2.9854734932,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,0.7663876370,4.8026958410,5.4870984223,-0.1740776560,1.1733635002,-0.4288450139,-0.2919727474,-0.3868392355,-0.5850807924,-0.3263988575,-0.2060788209,-0.1740776560,-0.8266511790,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,2.1798841967,2.5201470111,-0.6412420144,1.3134077327,5.5607505665,-0.3113995777,-0.1740776560,1.6080605044,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,-0.1740776560,2.3303010600,-0.2501221598,-0.5109523080,
PMI,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,1.1060450186,-0.1240448733,1.0089007236,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.0167312765,2.6006273007,1.6843038421,2.5423828592,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,0.5721567996,-0.4529108137,2.6651451805,-0.0673615380,0.7663876370,-0.2800405738,0.1873643364,-0.1740776560,-0.0461954134,-0.4288450139,-0.2919727474,-0.3868392355,-0.5850807924,-0.3263988575,-0.2060788209,-0.1740776560,-0.8266511790,1.2422847218,5.2793055757,2.6655336024,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,1.3075421149,-0.4161251893,-0.3651483717,-0.4599755644,1.7571667233,-0.0451578883,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,1.6080605044,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,-0.1740776560,2.3303010600,-0.2501221598,-0.5109523080,
RS,0.9669875568,5.2719155653,-0.1740776560,-0.4529108137,-0.4471245820,-0.1240448733,-0.2716271179,-0.3267348002,-0.2501221598,-0.1093533104,-0.3430476222,1.4073583908,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,0.6025300418,-0.2746851390,-0.1740776560,-0.3207526750,0.0515686622,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,0.1502311150,1.5851878478,-0.4417767826,-0.3143538442,2.0974819539,-0.2800405738,-0.2542801708,-0.1740776560,3.9173710557,-0.4288450139,-0.2919727474,1.3152534006,1.8501203436,-0.3263988575,-0.2060788209,-0.1740776560,1.5454782912,3.8590121145,-0.2222865506,1.0947727296,-0.3370999312,-0.1740776560,0.6573259681,-0.3113995777,-0.1740776560,-0.5684965717,2.3303010600,-0.3651483717,3.8297965475,-0.5317741400,-0.6412420144,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,-0.7939162615,3.1139957766,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,1.8978228584,
RTS,0.9669875568,0.8394770008,-0.1740776560,2.2645540683,-0.0588321818,3.5600878633,-0.2716271179,-0.3267348002,-0.2501221598,1.5309463451,-0.3430476222,-0.5277593966,1.9419755861,1.0875329754,-0.0932960467,-0.3368607684,-0.3673963669,5.2647984978,-0.1740776560,3.3083347337,0.0515686622,3.9673463925,-0.3207526750,-0.2484946100,0.4826151773,-0.2716945696,0.9058216273,-0.4417767826,-0.3143538442,2.0974819539,2.4923611070,-0.2542801708,-0.1740776560,-0.3510851418,2.1442250697,-0.2919727474,-0.3868392355,3.2416638499,-0.3263988575,-0.2060788209,-0.1740776560,1.5454782912,-0.5022002067,-0.2222865506,1.0947727296,4.8542390097,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,2.3303010600,-0.3651483717,-0.1299930943,-0.5317741400,-0.6412420144,1.3134077327,-0.1873302496,-0.3113995777,-0.1740776560,1.6080605044,-0.4161251893,-0.4161251893,1.2214096331,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,-0.1740776560,2.3303010600,-0.2501221598,-0.5109523080,
STOP,0.9669875568,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,1.4073583908,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.0183287243,-0.2484946100,-0.2757801013,-0.1662131485,-0.4529108137,-0.4417767826,-0.0673615380,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.6559748702,-0.4288450139,-0.2919727474,0.4642070825,-0.4111378541,-0.3263988575,-0.2060788209,-0.1740776560,-0.4312962673,-0.5022002067,-0.2222865506,1.0947727296,-0.3370999312,-0.1740776560,-0.2103443098,-0.3113995777,-0.1740776560,0.2355200083,-0.4161251893,0.0000000000,-0.1299930943,0.9941864356,-0.0451578883,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,1.8978228584,
T2SI,-0.0460470265,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,1.0875329754,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,5.3188207513,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,0.1873643364,-0.1740776560,-0.6559748702,-0.4288450139,-0.2919727474,-0.3868392355,-0.5850807924,-0.3263988575,-0.2060788209,-0.1740776560,-0.0359413556,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,3.6514837167,-0.4599755644,-0.5317741400,1.1470103638,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,-0.7939162615,3.1139957766,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,1.8978228584,
